Year,price,Fuel type,Gear box type,Manufacturer,Color,CarName
2020,22795,Electric,Automatic,VOLKSWAGEN,Maroon,vw beetle
2016,13976,Hybrid,CVT,PEUGEOT,Gold,peugeot coupe
2010,28686,Diesel,Automatic,BMW,Orange,bmw m3
2017,91894,Hybrid,Automatic,LEXUS,Purple,lexus ls500
2007,13664,Petrol,Manual,RENAULT,Green,renault coupe
2024,57483,Diesel,Semi-Automatic,PEUGEOT,Yellow,peugeot wagon
2021,26941,Electric,Automatic,NISSAN,Red,nissan kicks
2005,7205,Diesel,Semi-Automatic,NISSAN,White,nissan frontier
2019,46511,Electric,Automatic,SUBARU,Orange,subaru impreza
2016,53958,Diesel,Manual,LEXUS,Brown,lexus gx460
2009,74598,Electric,Automatic,AUDI,Beige,audi q3
2022,44482,Hybrid,Automatic,SUBARU,Green,subaru legacy
2019,27443,Petrol,Semi-Automatic,KIA,Orange,kia sportage
2021,7851,Electric,Automatic,SUZUKI,Orange,suzuki hatchback
2007,55055,Diesel,Manual,LAND-ROVER,Beige,land-rover defender
2012,40212,Diesel,Semi-Automatic,DODGE,Black,dodge durango
2018,38371,Hybrid,Manual,SKODA,Maroon,skoda minivan
2006,31813,Electric,Automatic,MAZDA,Orange,mazda mx5
2006,23773,Petrol,Manual,GMC,White,gmc convertible
2009,9341,Diesel,Automatic,FIAT,Yellow,fiat crossover
2020,17082,Hybrid,Automatic,RAM,Black,ram truck
2017,49039,Hybrid,CVT,MERCEDES-BENZ,Grey,mercedes-benz c300
2022,38243,Petrol,Manual,MINI,Black,mini coupe
2017,79775,Electric,Automatic,JAGUAR,Blue,jaguar ipace
2024,100260,Electric,Automatic,AUDI,Grey,audi rs5
2023,53924,Hybrid,Automatic,MINI,White,mini countryman
2015,23608,Electric,Automatic,TESLA,Orange,tesla models
2010,14663,Petrol,Automatic,MITSUBISHI,Gold,mitsubishi sedan
2014,34855,Petrol,Automatic,MINI,Yellow,mini coupe
2023,55512,Petrol,Semi-Automatic,TOYOTA,Grey,toyota sienna
2009,10620,Hybrid,Automatic,PEUGEOT,Beige,peugeot truck
2008,22336,Diesel,CVT,MAZDA,Yellow,mazda cx50
2017,28778,Electric,Automatic,TESLA,Purple,tesla models
2024,79896,Hybrid,Semi-Automatic,CADILLAC,Grey,cadillac sedan
2018,27247,Diesel,Automatic,KIA,Navy,kia forte
2022,19568,Petrol,Automatic,KIA,Maroon,kia stinger
2024,39363,Diesel,Automatic,MITSUBISHI,Black,mitsubishi convertible
2011,29519,Electric,Automatic,HYUNDAI,Beige,hyundai kona
2013,27479,Petrol,Semi-Automatic,VOLVO,Orange,volvo v60
2009,37356,Petrol,Automatic,SKODA,Gold,skoda suv
2015,38508,Diesel,Semi-Automatic,BUICK,Red,buick wagon
2020,48024,Diesel,Semi-Automatic,SUBARU,Gold,subaru crosstrek
2024,42753,Electric,Automatic,TOYOTA,Red,toyota 4runner
2020,70884,Electric,Automatic,VOLVO,Purple,volvo xc90
2018,37655,Electric,Automatic,NISSAN,Red,nissan pathfinder
2013,35708,Electric,Automatic,PORSCHE,Grey,porsche panamera
2016,29363,Hybrid,Semi-Automatic,VOLVO,Black,volvo v60
2016,19488,Electric,Automatic,BUICK,White,buick sedan
2007,14817,Petrol,Automatic,MAZDA,Red,mazda mx5
2022,45445,Electric,Automatic,FIAT,Yellow,fiat suv
2013,19729,Diesel,Manual,NISSAN,Brown,nissan altima
2017,48803,Petrol,Automatic,BMW,Gold,bmw m3
2005,66584,Diesel,Manual,MERCEDES-BENZ,White,mercedes-benz g550
2024,28201,Petrol,CVT,LEXUS,Maroon,lexus is300
2007,48726,Diesel,Semi-Automatic,JAGUAR,Beige,jaguar epace
2019,96250,Diesel,CVT,LAND-ROVER,Orange,land-rover sport
2024,56283,Electric,Automatic,RENAULT,Beige,renault suv
2009,31322,Diesel,Automatic,VOLKSWAGEN,Yellow,vw id4
2016,19424,Hybrid,Semi-Automatic,SKODA,Gold,skoda truck
2022,49752,Hybrid,Automatic,CHEVROLET,Maroon,chevrolet colorado
2016,19237,Diesel,Automatic,VOLVO,Green,volvo xc60
2010,36227,Electric,Automatic,TESLA,Blue,tesla models
2007,24909,Hybrid,CVT,CHRYSLER,Black,chrysler convertible
2024,14466,Diesel,Semi-Automatic,MAZDA,Green,mazda cx50
2013,42112,Diesel,CVT,SEAT,Blue,seat truck
2023,11282,Hybrid,Automatic,BUICK,White,buick convertible
2006,31561,Electric,Automatic,PEUGEOT,Brown,peugeot coupe
2006,31397,Petrol,Automatic,SUBARU,Blue,subaru impreza
2021,12073,Hybrid,Manual,MINI,Yellow,mini countryman
2008,26097,Hybrid,Semi-Automatic,CHEVROLET,Purple,chevrolet malibu
2007,29376,Petrol,Automatic,SUZUKI,Navy,suzuki sedan
2024,113324,Petrol,Automatic,LEXUS,Purple,lexus gs350
2011,39563,Electric,Automatic,FORD,Grey,ford maverick
2013,42213,Diesel,Manual,SUBARU,Blue,subaru brz
2016,12156,Petrol,Manual,TOYOTA,Navy,toyota rav4
2011,35728,Petrol,Manual,TOYOTA,Black,toyota yaris
2011,38225,Hybrid,CVT,BUICK,Red,buick convertible
2006,52379,Petrol,Manual,MERCEDES-BENZ,Navy,mercedes-benz c180
2018,12553,Diesel,CVT,VOLKSWAGEN,Black,vw passat
2008,35495,Electric,Automatic,RENAULT,Red,renault convertible
2011,25618,Diesel,Automatic,MERCEDES-BENZ,Navy,mercedes-benz e200
2022,49908,Electric,Automatic,LEXUS,Navy,lexus ls500
2012,15353,Diesel,Semi-Automatic,HYUNDAI,Grey,hyundai veloster
2005,32167,Petrol,Semi-Automatic,ACURA,Maroon,acura mdx
2011,37762,Petrol,Semi-Automatic,MERCEDES-BENZ,Green,mercedes-benz c300
2012,28760,Diesel,Semi-Automatic,GMC,Beige,gmc wagon
2016,31656,Diesel,CVT,INFINITI,Red,infiniti q60
2022,37299,Electric,Automatic,SEAT,White,seat suv
2012,37751,Hybrid,Semi-Automatic,RENAULT,Green,renault suv
2018,20769,Electric,Automatic,SEAT,White,seat coupe
2007,30650,Electric,Automatic,GMC,Blue,gmc sedan
2009,49135,Petrol,CVT,AUDI,Orange,audi q5
2012,15693,Diesel,Manual,CADILLAC,Maroon,cadillac crossover
2011,29839,Hybrid,Automatic,PORSCHE,Green,porsche cayman
2009,15252,Diesel,CVT,KIA,Brown,kia telluride
2018,92240,Diesel,Automatic,LAND-ROVER,Yellow,land-rover velar
2021,59314,Hybrid,Semi-Automatic,PORSCHE,Orange,porsche 911
2007,15194,Hybrid,Semi-Automatic,TOYOTA,Orange,toyota corolla
2017,96662,Electric,Automatic,PORSCHE,Maroon,porsche boxster
2016,6904,Electric,Automatic,MITSUBISHI,Green,mitsubishi sedan
2024,63000,Hybrid,Automatic,CADILLAC,White,cadillac truck
2020,11972,Hybrid,Manual,FIAT,Grey,fiat truck
2015,42689,Electric,Automatic,FORD,Green,ford fusion
2023,58012,Petrol,Automatic,KIA,Blue,kia soul
2012,24728,Petrol,Semi-Automatic,ACURA,Green,acura rdx
2018,12753,Electric,Automatic,SUBARU,Purple,subaru outback
2006,46546,Diesel,Automatic,CADILLAC,Beige,cadillac sedan
2016,79249,Diesel,Manual,BMW,Blue,bmw x4
2012,34162,Diesel,Semi-Automatic,CADILLAC,White,cadillac coupe
2005,29851,Diesel,Manual,CADILLAC,Beige,cadillac coupe
2008,29705,Petrol,CVT,INFINITI,Green,infiniti qx50
2014,31558,Electric,Automatic,RENAULT,Yellow,renault minivan
2011,38306,Electric,Automatic,HYUNDAI,Blue,hyundai santafe
2017,13179,Petrol,Manual,HONDA,Black,honda odyssey
2009,22196,Electric,Automatic,GMC,Gold,gmc hatchback
2006,52586,Electric,Automatic,LAND-ROVER,Grey,land-rover discovery
2010,19975,Hybrid,CVT,MITSUBISHI,Gold,mitsubishi coupe
2019,10393,Petrol,Semi-Automatic,VOLKSWAGEN,Gold,vw beetle
2019,49595,Petrol,Automatic,DODGE,Yellow,dodge ram2500
2008,9288,Diesel,CVT,VOLKSWAGEN,Blue,vw gti
2022,52251,Diesel,Automatic,BUICK,Blue,buick suv
2011,40790,Electric,Automatic,MINI,Navy,mini coupe
2016,41164,Electric,Automatic,VOLVO,Purple,volvo v60
2024,54292,Hybrid,Manual,VOLVO,Grey,volvo s60
2022,66723,Electric,Automatic,CADILLAC,Yellow,cadillac coupe
2024,114645,Hybrid,CVT,PORSCHE,Navy,porsche cayman
2017,80560,Petrol,CVT,BMW,Red,bmw x1
2013,45986,Electric,Automatic,SEAT,Brown,seat suv
2018,30484,Petrol,CVT,DODGE,Purple,dodge ram2500
2020,13000,Diesel,CVT,SUBARU,Red,subaru crosstrek
2017,26447,Diesel,Manual,GMC,White,gmc truck
2013,32089,Petrol,CVT,SUBARU,Navy,subaru wrx
2024,57360,Electric,Automatic,VOLKSWAGEN,Brown,vw golf
2007,7477,Hybrid,Automatic,RENAULT,Black,renault sedan
2022,21857,Hybrid,CVT,JEEP,Brown,jeep gladiator
2006,10480,Diesel,CVT,HONDA,Silver,honda accord
2018,38847,Hybrid,CVT,CHEVROLET,Green,chevrolet corvette
2013,36465,Petrol,Automatic,LEXUS,Navy,lexus lc500
2015,27579,Electric,Automatic,PEUGEOT,Maroon,peugeot sedan
2023,41751,Electric,Automatic,LEXUS,Blue,lexus nx300
2005,18976,Electric,Automatic,TESLA,Orange,tesla models
2023,42007,Hybrid,Manual,SUZUKI,Beige,suzuki wagon
2019,14802,Diesel,Automatic,VOLKSWAGEN,Black,vw passat
2008,18579,Hybrid,Automatic,FIAT,Brown,fiat wagon
2013,29077,Hybrid,Manual,KIA,Brown,kia seltos
2013,23602,Petrol,CVT,PEUGEOT,Maroon,peugeot sedan
2012,11460,Diesel,Semi-Automatic,MINI,Navy,mini cooper
2009,6753,Electric,Automatic,NISSAN,Red,nissan rogue
2013,25978,Electric,Automatic,NISSAN,Green,nissan murano
2017,49613,Hybrid,Automatic,MITSUBISHI,Navy,mitsubishi coupe
2017,47558,Diesel,Automatic,PEUGEOT,White,peugeot minivan
2015,26616,Petrol,Manual,CHEVROLET,Grey,chevrolet tahoe
2015,65124,Hybrid,CVT,BMW,White,bmw x3
2016,22680,Petrol,Manual,SKODA,Gold,skoda convertible
2013,27384,Hybrid,CVT,INFINITI,Black,infiniti qx80
2011,41713,Hybrid,Semi-Automatic,PEUGEOT,Navy,peugeot crossover
2017,24226,Diesel,Semi-Automatic,SUBARU,Beige,subaru wrx
2009,24032,Hybrid,Automatic,SUZUKI,Red,suzuki truck
2017,19558,Diesel,CVT,MINI,Maroon,mini coupe
2005,48494,Electric,Automatic,TESLA,Beige,tesla modely
2013,10425,Diesel,Manual,RENAULT,Navy,renault truck
2024,49939,Petrol,Semi-Automatic,SKODA,Grey,skoda suv
2018,22703,Petrol,Automatic,HYUNDAI,Silver,hyundai genesis
2011,17874,Diesel,CVT,RENAULT,Black,renault minivan
2009,53077,Petrol,Automatic,PORSCHE,Blue,porsche 911
2014,12036,Petrol,Manual,SKODA,Red,skoda wagon
2011,40533,Hybrid,Semi-Automatic,TOYOTA,Navy,toyota avalon
2019,63316,Diesel,CVT,PORSCHE,Yellow,porsche panamera
2023,46635,Hybrid,Automatic,JAGUAR,Red,jaguar ipace
2022,97445,Electric,Automatic,MERCEDES-BENZ,Maroon,mercedes-benz e350
2023,57385,Hybrid,Automatic,SKODA,Silver,skoda sedan
2016,33803,Petrol,Manual,RAM,Purple,ram minivan
2006,28876,Diesel,Automatic,VOLKSWAGEN,Silver,vw jetta
2013,38577,Diesel,CVT,HONDA,Green,honda fit
2019,45088,Diesel,Semi-Automatic,MERCEDES-BENZ,Silver,mercedes-benz c200
2017,45079,Hybrid,Manual,GMC,Blue,gmc truck
2019,47106,Hybrid,Automatic,MERCEDES-BENZ,Black,mercedes-benz e450
2013,21860,Diesel,Automatic,HYUNDAI,Orange,hyundai tucson
2018,36366,Electric,Automatic,DODGE,Purple,dodge ram2500
2012,31271,Hybrid,Manual,KIA,Black,kia forte
2019,22825,Diesel,Automatic,VOLKSWAGEN,Navy,vw tiguan
2010,14354,Electric,Automatic,NISSAN,White,nissan murano
2005,24823,Hybrid,Manual,CADILLAC,White,cadillac crossover
2007,16147,Petrol,CVT,LAND-ROVER,Red,land-rover evoque
2011,28313,Electric,Automatic,CHEVROLET,Blue,chevrolet impala
2020,12113,Hybrid,Automatic,BUICK,Gold,buick minivan
2009,53140,Hybrid,Automatic,MERCEDES-BENZ,Maroon,mercedes-benz s600
2012,23066,Electric,Automatic,TOYOTA,Yellow,toyota avalon
2021,41784,Diesel,CVT,BUICK,Yellow,buick wagon
2012,7706,Hybrid,Semi-Automatic,FIAT,Black,fiat hatchback
2006,12442,Diesel,CVT,PEUGEOT,Green,peugeot wagon
2007,26651,Petrol,Automatic,JEEP,Silver,jeep renegade
2021,47997,Hybrid,Manual,FORD,Orange,ford edge
2013,8187,Petrol,Automatic,JEEP,Grey,jeep renegade
2015,61857,Electric,Automatic,LEXUS,Black,lexus gx460
2024,56468,Diesel,Automatic,KIA,Green,kia k5
2009,28245,Petrol,Semi-Automatic,HYUNDAI,Orange,hyundai genesis
2022,74604,Hybrid,Manual,AUDI,Grey,audi q8
2011,53504,Electric,Automatic,BMW,Maroon,bmw 530i
2021,16982,Hybrid,Manual,VOLKSWAGEN,Gold,vw id4
2016,37149,Electric,Automatic,NISSAN,Red,nissan sentra
2007,16229,Hybrid,CVT,FORD,Orange,ford ranger
2006,28655,Electric,Automatic,SUZUKI,Grey,suzuki hatchback
2011,25023,Diesel,Automatic,SKODA,Gold,skoda truck
2006,6057,Petrol,Semi-Automatic,JEEP,Navy,jeep grand-cherokee
2012,31686,Hybrid,Manual,NISSAN,Black,nissan sentra
2020,47912,Electric,Automatic,ACURA,Purple,acura mdx
2021,49275,Petrol,Manual,NISSAN,Black,nissan rogue
2017,8881,Petrol,Manual,CHEVROLET,Grey,chevrolet malibu
2010,15540,Diesel,Automatic,SUZUKI,Brown,suzuki suv
2005,8972,Petrol,Manual,CHRYSLER,Grey,chrysler sedan
2021,27271,Hybrid,Semi-Automatic,RAM,Navy,ram convertible
2018,19718,Electric,Automatic,ACURA,Black,acura ilx
2016,45160,Electric,Automatic,SEAT,Navy,seat suv
2011,37225,Diesel,Semi-Automatic,SKODA,Black,skoda minivan
2021,13662,Electric,Automatic,SEAT,Black,seat wagon
2019,18264,Electric,Automatic,CADILLAC,White,cadillac suv
2013,57603,Diesel,Manual,ACURA,Green,acura mdx
2024,50346,Electric,Automatic,MERCEDES-BENZ,Brown,mercedes-benz c300
2010,6821,Diesel,Automatic,PEUGEOT,Beige,peugeot suv
2011,38650,Electric,Automatic,DODGE,Yellow,dodge journey
2022,39409,Petrol,CVT,FORD,Black,ford f150
2014,9481,Petrol,Manual,JEEP,Beige,jeep wrangler
2022,32418,Diesel,CVT,ACURA,Blue,acura mdx
2009,28309,Hybrid,Manual,CADILLAC,Purple,cadillac sedan
2018,41104,Petrol,Semi-Automatic,CHRYSLER,Grey,chrysler hatchback
2020,74002,Petrol,Manual,MERCEDES-BENZ,Black,mercedes-benz g550
2017,39557,Hybrid,CVT,LAND-ROVER,Black,land-rover discovery
2015,26599,Hybrid,Automatic,SUZUKI,Navy,suzuki crossover
2015,29505,Petrol,Manual,SUBARU,Black,subaru impreza
2019,28864,Hybrid,CVT,BUICK,Navy,buick convertible
2011,56199,Petrol,CVT,INFINITI,White,infiniti q70
2014,44429,Electric,Automatic,TESLA,Grey,tesla cybertruck
2024,18659,Diesel,Semi-Automatic,MITSUBISHI,Gold,mitsubishi sedan
2007,33213,Diesel,CVT,CHEVROLET,Beige,chevrolet traverse
2008,69905,Electric,Automatic,MERCEDES-BENZ,Purple,mercedes-benz e350
2022,12019,Hybrid,Semi-Automatic,HYUNDAI,Black,hyundai santafe
2022,60299,Petrol,CVT,AUDI,Silver,audi q8
2024,42116,Electric,Automatic,DODGE,Yellow,dodge charger
2013,26407,Electric,Automatic,ACURA,White,acura ilx
2018,39163,Petrol,Manual,PEUGEOT,Blue,peugeot truck
2021,31096,Hybrid,Automatic,GMC,Silver,gmc crossover
2017,19667,Diesel,CVT,MAZDA,Beige,mazda cx30
2011,20574,Electric,Automatic,LEXUS,Grey,lexus rc300
2013,26044,Petrol,CVT,LEXUS,Beige,lexus lc500
2011,62928,Hybrid,Manual,BMW,Green,bmw x6
2012,33112,Diesel,CVT,BUICK,Brown,buick sedan
2011,29873,Hybrid,Semi-Automatic,HONDA,Green,honda hrv
2017,27555,Petrol,Manual,SEAT,Grey,seat crossover
2011,51251,Electric,Automatic,TESLA,Brown,tesla models
2009,14788,Hybrid,CVT,CADILLAC,Beige,cadillac wagon
2006,59087,Electric,Automatic,LAND-ROVER,Grey,land-rover velar
2009,28317,Hybrid,Semi-Automatic,SKODA,Grey,skoda convertible
2009,36551,Diesel,Semi-Automatic,VOLKSWAGEN,Gold,vw id4
2018,15166,Diesel,Manual,RAM,White,ram coupe
2024,51002,Hybrid,CVT,CADILLAC,Silver,cadillac truck
2007,66149,Electric,Automatic,PORSCHE,Navy,porsche taycan
2009,19006,Diesel,Semi-Automatic,MERCEDES-BENZ,Red,mercedes-benz g550
2010,51304,Electric,Automatic,PORSCHE,Black,porsche cayenne
2021,23809,Diesel,CVT,ACURA,Gold,acura ilx
2009,28637,Hybrid,Automatic,FIAT,Navy,fiat sedan
2016,51322,Electric,Automatic,TESLA,Red,tesla models
2008,7455,Diesel,CVT,BUICK,Gold,buick hatchback
2022,71685,Diesel,Manual,VOLVO,Gold,volvo s60
2008,21482,Diesel,Semi-Automatic,MERCEDES-BENZ,Navy,mercedes-benz g550
2010,38036,Petrol,Manual,HONDA,Brown,honda civic
2005,52627,Electric,Automatic,JAGUAR,Red,jaguar xj
2019,49450,Electric,Automatic,CHEVROLET,Purple,chevrolet colorado
2011,38220,Electric,Automatic,JEEP,Yellow,jeep renegade
2015,38106,Diesel,Automatic,NISSAN,Red,nissan armada
2021,8725,Diesel,Manual,CHEVROLET,Yellow,chevrolet colorado
2021,12540,Diesel,Manual,FIAT,Orange,fiat minivan
2016,46236,Petrol,Semi-Automatic,DODGE,Red,dodge challenger
2021,74700,Diesel,Manual,INFINITI,Orange,infiniti qx80
2011,52713,Electric,Automatic,PORSCHE,Red,porsche boxster
2009,18109,Petrol,CVT,FIAT,Navy,fiat coupe
2006,19717,Petrol,Automatic,CHEVROLET,Red,chevrolet colorado
2019,32221,Diesel,Manual,PEUGEOT,Grey,peugeot truck
2010,37407,Diesel,CVT,PEUGEOT,Gold,peugeot sedan
2013,39652,Diesel,Semi-Automatic,KIA,Green,kia niro
2005,7042,Diesel,CVT,KIA,Maroon,kia rio
2014,30251,Hybrid,Manual,TOYOTA,Brown,toyota corolla
2023,17162,Petrol,Semi-Automatic,MITSUBISHI,Red,mitsubishi convertible
2011,34104,Hybrid,Manual,VOLKSWAGEN,Brown,vw jetta
2005,29076,Electric,Automatic,AUDI,Silver,audi q5
2017,18107,Petrol,CVT,JEEP,Beige,jeep grand-cherokee
2010,21560,Petrol,CVT,FIAT,Maroon,fiat coupe
2011,49658,Electric,Automatic,ACURA,Orange,acura ilx
2006,50211,Electric,Automatic,TESLA,Red,tesla models
2006,30936,Diesel,Automatic,CHRYSLER,Blue,chrysler truck
2016,48723,Petrol,Manual,DODGE,Grey,dodge challenger
2006,32658,Diesel,Manual,DODGE,Black,dodge charger
2008,45350,Petrol,Manual,ACURA,Navy,acura mdx
2014,62419,Diesel,Manual,INFINITI,Brown,infiniti q70
2021,48822,Electric,Automatic,SEAT,Black,seat suv
2022,56101,Hybrid,Semi-Automatic,SUBARU,Navy,subaru ascent
2018,32051,Petrol,Automatic,FORD,Green,ford expedition
2022,55714,Electric,Automatic,CHEVROLET,Beige,chevrolet tahoe
2020,45058,Diesel,Automatic,SKODA,Navy,skoda minivan
2007,9831,Petrol,Manual,PEUGEOT,Maroon,peugeot convertible
2015,31044,Diesel,Manual,JAGUAR,Navy,jaguar fpace
2005,13526,Electric,Automatic,CHRYSLER,Beige,chrysler truck
2010,18361,Hybrid,Automatic,JAGUAR,Green,jaguar fpace
2016,44355,Hybrid,Automatic,HYUNDAI,Purple,hyundai venue
2019,37884,Electric,Automatic,NISSAN,Navy,nissan pathfinder
2019,15669,Petrol,Automatic,MITSUBISHI,Silver,mitsubishi sedan
2024,39936,Electric,Automatic,INFINITI,Blue,infiniti q50
2005,22401,Diesel,Semi-Automatic,DODGE,Purple,dodge journey
2023,35186,Diesel,Automatic,BUICK,Gold,buick truck
2006,27353,Petrol,Semi-Automatic,SEAT,Beige,seat suv
2022,17604,Hybrid,CVT,TOYOTA,Red,toyota avalon
2024,18265,Hybrid,Manual,GMC,Brown,gmc sedan
2006,28506,Petrol,Automatic,BMW,Maroon,bmw 520i
2008,11139,Hybrid,CVT,KIA,White,kia stinger
2013,40070,Diesel,Manual,MINI,Purple,mini clubman
2014,34010,Diesel,Semi-Automatic,GMC,Red,gmc hatchback
2005,21280,Diesel,Automatic,BUICK,Grey,buick hatchback
2008,69066,Diesel,Automatic,PORSCHE,Grey,porsche cayenne
2022,88315,Hybrid,CVT,LEXUS,Maroon,lexus nx300
2013,11450,Petrol,Manual,SEAT,Orange,seat truck
2008,25428,Petrol,CVT,BUICK,Purple,buick suv
2018,48096,Electric,Automatic,ACURA,Maroon,acura ilx
2023,17895,Hybrid,CVT,MITSUBISHI,Navy,mitsubishi coupe
2011,39425,Electric,Automatic,MERCEDES-BENZ,Brown,mercedes-benz c300
2013,37520,Diesel,Semi-Automatic,SUZUKI,Purple,suzuki truck
2005,22142,Electric,Automatic,MAZDA,Beige,mazda cx3
2023,14890,Electric,Automatic,RENAULT,Maroon,renault minivan
2024,42095,Petrol,Manual,KIA,Black,kia forte
2007,48671,Electric,Automatic,TESLA,Blue,tesla modely
2011,23539,Electric,Automatic,FORD,Gold,ford mustang
2023,83259,Petrol,Semi-Automatic,LEXUS,Purple,lexus lc500
2011,14780,Diesel,Automatic,FORD,Orange,ford fusion
2024,39709,Diesel,CVT,HYUNDAI,Beige,hyundai sonata
2007,50235,Petrol,Semi-Automatic,INFINITI,Navy,infiniti q50
2016,51655,Diesel,Semi-Automatic,INFINITI,Beige,infiniti qx80
2010,16893,Electric,Automatic,INFINITI,Maroon,infiniti q60
2014,14590,Diesel,Semi-Automatic,CHEVROLET,Silver,chevrolet silverado
2006,25265,Diesel,Semi-Automatic,CHEVROLET,Silver,chevrolet tahoe
2006,18493,Diesel,Semi-Automatic,RENAULT,White,renault convertible
2015,45631,Diesel,Manual,INFINITI,Grey,infiniti q50
2016,45218,Hybrid,CVT,MINI,White,mini clubman
2015,21266,Hybrid,CVT,SKODA,Brown,skoda truck
2020,70274,Electric,Automatic,LEXUS,Green,lexus ls500
2018,43068,Petrol,Manual,TOYOTA,Silver,toyota prius
2020,42496,Petrol,CVT,SUZUKI,White,suzuki minivan
2006,7283,Hybrid,CVT,PEUGEOT,Black,peugeot hatchback
2010,34046,Diesel,Semi-Automatic,GMC,Blue,gmc crossover
2023,43520,Electric,Automatic,CHEVROLET,Yellow,chevrolet equinox
2017,9417,Petrol,Semi-Automatic,JEEP,Green,jeep cherokee
2019,26570,Hybrid,CVT,LAND-ROVER,Orange,land-rover sport
2012,32479,Diesel,CVT,BMW,Grey,bmw 740i
2006,17765,Petrol,Semi-Automatic,INFINITI,White,infiniti q70
2023,33805,Petrol,CVT,SKODA,Purple,skoda convertible
2018,13140,Diesel,Automatic,TOYOTA,Blue,toyota tundra
2005,17698,Diesel,Automatic,RENAULT,Brown,renault truck
2015,38149,Hybrid,CVT,VOLKSWAGEN,Purple,vw passat
2016,22835,Hybrid,Manual,RENAULT,Navy,renault minivan
2015,45926,Electric,Automatic,AUDI,Blue,audi q5
